Strategy,Field Name,Type,Default,Description
Pocket,Home Position,(x,y),"(0,0)",Position tool travels to before/after machining
Pocket,Project onto 3D Model,bool,false,Drop pocket toolpath onto a defined 3D model surface
Pocket,Vector Selection,multi-select,"all",Select closed boundary vectors; supports TP templates
Pocket,Name,string,[auto],Custom name for the toolpath entry

Drill,Cut Depth,float,"0.25 in",Depth of drilled hole relative to Start Depth (C)
Drill,Start Depth,float,0.0,Depth at which drilling is calculated from
Drill,Tool Selection,single,[1 drill],Single drill/end mill selected from Tool Database
Drill,Peck Drilling,bool,false,Enable peck cycle: drill Pass Depth → retract → repeat
Drill,Retract Mode,enum,"Above Previous",Retract strategy: Above Cutting Start / Above Previous Pass Height
Drill,Retract Gap,float,"0.0625 in",Distance above start depth (fixed) or above previous pass (relative) for peck retract
Drill,Dwell at Bottom,bool,false,Pause drill at hole bottom before retracting each pass
Drill,Dwell Time,float,0.0,Duration of dwell pause at bottom of each peck pass (seconds)
Drill,Use Vector Selection Order,bool,false,Machine drill points in selection order vs. optimized path
Drill,Safe Z,float,"0.25 in",Height above job for rapid travel
Drill,Home Position,(x,y),"(0,0)",Position tool travels to before/after machining
Drill,Project onto 3D Model,bool,false,Drop drill points onto a defined 3D model surface
Drill,Vector Selection,multi-select,"all",Select closed vectors (centers drilled) or point vectors; supports TP templates
Drill,Name,string,[auto],Custom name for the toolpath entry

V-Carve,Cut Depth,float,"0.125 in",Depth of V-carving relative to Start Depth (C); per-vector Z-depth drives shading
V-Carve,Start Depth,float,0.0,Base depth; 0 for surface carving, deeper for pocket-bottom engraving
V-Carve,Flat Depth,bool,false,Enable flat-bottomed carving mode with a specified depth limit
V-Carve,Flat Depth Value,float,N/A,Maximum depth for flat-bottomed V-carving (F)
V-Carve,Tool Selection,single,[1 V-bit],V-bit or ball nose tool from Tool Database; angle drives path calculation
V-Carve,V-Bit Angle,float,90°,Angle of the V-bit cutter; 30°/45°/90° common presets
V-Carve,Use Clearance Tools,bool,false,Enable multi-tool roughing with end mills before V-carving pass
V-Carve,Clearance Tool List,list,[empty],List of clearance tools (end mill/ball nose); each removes max unmachined area
V-Carve,Clearance Strategy,enum,"Offset",First clearance tool fill: Offset / Raster
V-Carve,Clearance Cut Direction,enum,"Climb",For first clearance tool: Climb (CCW) or Conventional (CW)
V-Carve,Clearance Raster Angle,float,0°,Angle of raster passes for clearance tool
V-Carve,Ramp Plunge Moves,bool,false,Apply ramping to clearance tool plunge moves
V-Carve,Corner Sharpen,bool,false,Raise engraving tool tip into narrower regions; available for 2nd+ tools only
V-Carve,Use Vector Start Points,bool,true,Align profile/offset start points to boundary vector start points
V-Carve,Use Vector Selection Order,bool,false,Machine vectors in selection order vs. optimized shortest path
V-Carve,Safe Z,float,"0.125 in",Height above job for rapid travel (typically lower than Profile)
V-Carve,Home Position,(x,y),"(0,0)",Position tool travels to before/after machining
V-Carve,Project onto 3D Model,bool,false,Drop V-carve toolpath onto a defined 3D model surface
V-Carve,Vector Selection,multi-select,"all",Select vectors with per-vector Z-depth data; supports TP templates
V-Carve,Name,string,[auto],Custom name for the toolpath entry
